name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York City,2016-03-01,10.1,4.3,7.5,10.1,1.2,5.2,-3.1,49,0,0,0,,0,0,40.7,19.5,174.7,1016.5,43.6,16,192.7,16.7,7,,2016-03-01T06:29:09,2016-03-01T17:47:55,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02,12.4,-1,6.3,12.4,-6.5,3.1,-4.2,49.7,3.69,100,25,rain,0,0,59.7,31.8,272.6,1006.3,46.9,15.2,182.5,15.8,6,,2016-03-02T06:27:36,2016-03-02T17:49:03,0.78,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03,2,-3.2,-0.4,1.9,-9.3,-4.4,-13.5,37.4,0,0,0,,1.9,0.6,53.6,24.1,283.1,1022.9,38.1,16,187.7,16.1,7,,2016-03-03T06:26:03,2016-03-03T17:50:11,0.83,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-04,4.3,-1,0.9,0.5,-6.9,-3.1,-5.3,65.5,2.42,100,37.5,"rain,snow",1.2,2,35.3,22.8,71.9,1018.9,73.2,10.2,102.5,8.7,4,,2016-03-04T06:24:29,2016-03-04T17:51:18,0.88,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-05,4.5,-1.8,1.3,3.8,-5.7,-1.3,-10.1,43.7,0,0,0,,0,0.2,35.3,17.5,207.8,1021.5,39.3,16,120.8,10.3,4,,2016-03-05T06:22:55,2016-03-05T17:52:25,0.92,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-06,7,0,3.4,6.9,-2.7,1.8,-9.4,39.2,0,0,0,,0,0,33.5,13.5,141,1024.7,46.5,16,178.4,15.5,7,,2016-03-06T06:21:20,2016-03-06T17:53:32,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-07,15.8,2.2,8.8,15.8,-1.9,7.4,-1,51.8,0,0,0,,0,0,46.9,25.6,235,1020.9,20.5,14.7,176.7,15.2,7,,2016-03-07T06:19:44,2016-03-07T17:54:39,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-08,17.9,8.4,12,17.9,8.4,11.9,2.2,52.4,0,0,0,,0,0,29.5,17.7,144.7,1019.9,42.4,14.2,189.1,16.4,7,,2016-03-08T06:18:08,2016-03-08T17:55:45,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-09,24.1,6.6,15.7,24.1,5.5,15.5,4.2,51.8,0,0,0,,0,0,55.4,20.5,137,1018.3,24,12,204.9,17.7,7,,2016-03-09T06:16:32,2016-03-09T17:56:51,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-10,25.5,17.4,21.4,25.5,17.4,21.4,7.7,42.1,0.85,100,8.33,rain,0,0,47.9,14.7,249.3,1014.2,54.1,15.9,137.6,12,6,,2016-03-10T06:14:55,2016-03-10T17:57:57,0.02,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
