name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York City,2015-03-01,-1.2,-4.5,-2.9,-2.2,-7.6,-3.9,-11.4,56.4,12.27,100,33.33,snow,5.1,14.7,31.3,15.1,200.9,1033.4,77.6,10.2,50.2,4.2,2,,2015-03-01T06:30:19,2015-03-01T17:47:04,0.42,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-03-02,3.4,-2.1,0.5,-0.5,-7.6,-3.4,-8,56.3,0,0,0,,3.2,20.7,51,28,305.7,1020.9,52.1,14,164.2,14.2,7,,2015-03-02T06:28:47,2015-03-02T17:48:12,0.45,Partially cloudy,Clearing in the afternoon.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-03-03,2,-5,-1.8,-1.5,-8.3,-5.2,-8.8,60.6,15.17,100,33.33,"rain,snow",0.1,21.3,47.9,18.9,219.8,1025.3,56.3,12.1,78.1,6.9,3,,2015-03-03T06:27:14,2015-03-03T17:49:20,0.48,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-03-04,7.2,2,4.5,5.8,-2.7,1.8,1.7,82.6,4.78,100,37.5,rain,3.7,23.1,35.1,20.1,237.8,1010.4,99.2,9.2,69.8,6,2,,2015-03-04T06:25:41,2015-03-04T17:50:28,0.49,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-03-05,4.6,-6.4,-2.6,1.7,-12.9,-7.1,-5.4,82,19.4,100,75,"rain,snow",8.4,26.1,36.5,20.1,292.1,1019.7,90.1,4.5,80.5,7,3,,2015-03-05T06:24:07,2015-03-05T17:51:35,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-03-06,-3.1,-10.4,-6.7,-3.5,-17.6,-11.3,-15.8,49,0,0,0,,5,35.4,48,26.7,215.3,1031.2,11.2,15.4,226.2,19.5,8,,2015-03-06T06:22:32,2015-03-06T17:52:42,0.5,Clear,Clear conditions throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-03-07,3.3,-8,-2,1.9,-13.4,-5.9,-11.7,47.8,0,0,0,,0,34.1,39.2,22,250.1,1022.4,41.7,15.7,199.2,17.2,8,,2015-03-07T06:20:57,2015-03-07T17:53:49,0.52,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-03-08,9,2.5,5.4,7.1,-0.3,3.5,-5.3,46.7,0,0,0,,0,29.2,45.7,28.8,255.3,1018,65.1,15.8,190.3,15.7,7,,2015-03-08T07:19:22,2015-03-08T18:54:55,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-03-09,12.1,4.1,7.9,12.1,2.1,6.9,-4.3,42.9,0.37,100,8.33,rain,0,22.7,42.9,18.1,262.6,1021.2,31.6,15.8,213.9,18.4,8,,2015-03-09T07:17:46,2015-03-09T18:56:02,0.56,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-03-10,10.9,3.6,6.9,10.9,2.1,6.2,0,62.8,9.21,100,29.17,rain,2.3,17.5,29.5,12.3,80.8,1023.1,58,12.1,77.9,6.8,4,,2015-03-10T07:16:09,2015-03-10T18:57:08,0.6,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
