name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York City,2017-05-01T00:00:00,11.7,11.7,6.2,68.88,0,,,0,0,,14.1,87,1021,100,16,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T01:00:00,11.2,11.2,8,80.75,0,,,0,0,,10.9,78,1020.7,95.9,16,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T02:00:00,10.4,10.4,8.8,90.18,0,,,0,0,,10.2,56,1019.7,95.9,9.2,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T03:00:00,10.2,10.2,9,92.2,0,,,0,0,,11,50,1019,100,6.1,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T04:00:00,9.8,8.1,8.7,92.72,0,,,0,0,,12.4,67,1017.7,100,5.3,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T05:00:00,9.6,8.1,8.9,95.23,0,,,0,0,,10.4,63,1017.1,100,5.7,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,KNYC,72503014732"
New York City,2017-05-01T06:00:00,9.6,8.7,8.9,95.6,0,,,0,0,,7.5,65,1016.6,100,7,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T07:00:00,10.1,10.1,8.9,92.46,0,,,0,0,,8.3,44,1016.3,99,5.2,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T08:00:00,10.1,10.1,9.3,95.06,0,,,0,0,,10.3,51,1016.2,99,5.9,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T09:00:00,10.7,10.7,9.6,92.47,0,,,0,0,,7.5,65,1016.4,99,5.9,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T10:00:00,11.2,11.2,9.6,89.4,0,,,0,0,,8,63,1015.8,99,6.2,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T11:00:00,12.5,12.5,10,84.51,0,,,0,0,,8.2,71,1015.4,69.5,8.1,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,KNYC,72503014732"
New York City,2017-05-01T12:00:00,14.4,14.4,10.8,78.87,0,,,0,0,,10.3,55,1014.6,92.5,6.8,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T13:00:00,17.4,17.4,11.9,69.91,0,,,0,0,,3.6,17,1013.5,88.1,8.9,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,KNYC,72503014732"
New York City,2017-05-01T14:00:00,18.8,18.8,12.2,65.49,0,,,0,0,,12.8,110,1011.9,75.5,12,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T15:00:00,21.1,21.1,14.3,64.99,0,,,0,0,,12.2,52,1010.9,41.4,12.9,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T16:00:00,20.3,20.3,13.3,64.37,0,,,0,0,,13.6,102,1009.7,13.9,14.2,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T17:00:00,19,19,12.8,67.16,0,,,0,0,,15.9,59,1008.5,37,14.2,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T18:00:00,19.2,19.2,13.4,68.73,0,,,0,0,,12.4,69,1007.7,17,14.2,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T19:00:00,20.7,20.7,14.9,69.56,0,,,0,0,,2.1,0,1006.4,17,14.2,,,,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T20:00:00,21.8,21.8,15.7,68.15,0,,,0,0,40.7,10,178,1006.4,37,14.8,,,,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T21:00:00,21.1,21.1,15,68.31,0,,,0,0,29.5,18.2,170,1006.1,13.9,16,,,,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T22:00:00,19.7,19.7,15,74.11,0,,,0,0,,12.6,170,1005.9,17,14.8,,,,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-01T23:00:00,18.5,18.5,15.2,81.17,0,,,0,0,37.5,16.7,165,1004.5,17.2,14.2,,,,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-02T00:00:00,18.9,18.9,15.7,81.61,0,,,0,0,,13,170,1003.7,29,14.2,,,,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-02T01:00:00,19.2,19.2,15.7,80.06,0,,,0,0,,12.8,174,1003.4,30,14.2,,,,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-02T02:00:00,18.8,18.8,15.7,82.6,0,,,0,0,,12.8,167,1002.7,22.5,14.2,,,,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-02T03:00:00,19,19,15.9,82.21,0,,,0,0,,11.4,175,1002.3,37.5,14.8,,,,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-02T04:00:00,20.6,20.6,16.5,77.58,0,,,0,0,35.3,11.8,172,1001.6,80.8,14.8,,,,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-02T05:00:00,20.7,20.7,17.2,80.66,0,,,0,0,40.7,29.4,194,1001.3,39.5,16,,,,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-02T06:00:00,20.1,20.1,17.1,82.64,0,,,0,0,30.1,18.7,194,1001.7,94.1,16,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-02T07:00:00,20.4,20.4,17.5,83.08,0,,,0,0,29.4,18.7,203,1001.5,53.6,14.8,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-02T08:00:00,19.7,19.7,17.2,85.47,0,,,0,0,,4.6,287,1001.7,70,13.7,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-05-02T09:00:00,21.2,21.2,15.4,69.29,0,,,0,0,,15.3,297,1001.7,20.3,16,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
