name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York City,2016-04-01T00:00:00,17.4,17.4,12.9,74.87,0,0,,0,0,31.7,9.2,188,1008.2,93.1,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-01T01:00:00,17.2,17.2,13.4,78.02,0,0,,0,0,,11.2,178,1007.7,89.8,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-01T02:00:00,17.7,17.7,13.7,77.36,0,0,,0,0,31.7,13.8,179,1006.9,100,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-01T03:00:00,17.9,17.9,13.9,77.5,0,0,,0,0,30.9,13.3,177,1006.5,99.2,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-01T04:00:00,18,18,14.2,78.33,0,0,,0,0,33.5,9.9,179,1006.6,99.1,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-01T05:00:00,18.2,18.2,14,76.59,0,0,,0,0,31.7,13.5,177,1005.8,97.5,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-01T06:00:00,17.2,17.2,13.5,78.55,0,0,,0,0,,9.8,164,1005,100,16,1.9,0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-01T07:00:00,17.6,17.6,14.2,80.28,0,0,,0,0,38.9,11.5,194,1004.4,100,16,40.8,0.1,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,72503014732"
New York City,2016-04-01T08:00:00,17,17,14.8,87,0.12,100,rain,0,0,,11.3,180,1004,100,13.7,102.5,0.4,1,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,72503014732"
New York City,2016-04-01T09:00:00,16.7,16.7,14.7,88.27,0,0,,0,0,40.7,13.5,182,1003.7,100,12.7,112.1,0.4,1,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,72503014732"
New York City,2016-04-01T10:00:00,17.4,17.4,14.1,80.8,0,0,,0,0,33.5,15.4,181,1002.9,100,15.2,99.6,0.4,1,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,72503014732"
New York City,2016-04-01T11:00:00,17.6,17.6,13.9,79.02,0,0,,0,0,32.3,13.9,193,1002.8,100,15.2,158.1,0.6,2,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,72503014732"
New York City,2016-04-01T12:00:00,18.6,18.6,14,74.77,0,0,,0,0,50,17.5,191,1002.7,100,15.2,249.9,0.9,2,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,72503014732"
New York City,2016-04-01T13:00:00,20,20,15.6,75.76,0,0,,0,0,45.2,18.3,209,1000.7,67.5,16,414.8,1.5,4,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,72503014732"
New York City,2016-04-01T14:00:00,22.4,22.4,14.8,62.11,0,0,,0,0,40.7,10.9,292,1000,65,16,696,2.5,7,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-01T15:00:00,24.1,24.1,14.1,53.61,0,0,,0,0,38.5,23.3,245,999.1,56.2,16,632,2.3,6,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-01T16:00:00,25.7,25.7,13.6,47.37,0,0,,0,0,32.2,19.1,240,998,25.4,16,450,1.6,5,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-01T17:00:00,25.9,25.9,13,44.87,0,0,,0,0,30.9,15,217,997.4,44.6,16,255.5,0.9,3,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-01T18:00:00,24.2,24.2,12.4,47.57,0,0,,0,0,38.9,17.6,181,998,47.7,16,81.1,0.3,1,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-01T19:00:00,20.9,20.9,13.2,61.28,0,0,,0,0,55.4,7.2,291,999,93.2,13.8,1.1,0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,KNYC,72503014732"
New York City,2016-04-01T20:00:00,19.3,19.3,14.6,74.23,0.25,100,rain,0,0,63,9.4,273,1000,89.8,16,0,,0,,"Rain, Partially cloudy",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-01T21:00:00,20.7,20.7,14.1,66.24,0,0,,0,0,,8.7,234,1001.1,99.2,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-01T22:00:00,19.9,19.9,13.8,67.94,0,0,,0,0,,5.1,269,1001.9,65.9,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-01T23:00:00,18.6,18.6,10,57.51,0,0,,0,0,,16.9,280,1003,92.3,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-02T00:00:00,17,17,6.3,49.33,0,0,,0,0,,5.6,351,1003.7,92.3,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-02T01:00:00,16.3,16.3,5.9,50.11,0,0,,0,0,,3,354,1003.6,91.4,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-02T02:00:00,15.6,15.6,5.4,50.89,0,0,,0,0,,10.2,22,1003.9,92.3,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-02T03:00:00,14.3,14.3,6,57.14,0,0,,0,0,,12,28,1003.9,93.1,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-02T04:00:00,13.1,13.1,6.4,63.81,0,0,,0,0,,9.9,41,1003.9,100,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-02T05:00:00,12.2,12.2,6.7,69.26,0,0,,0,0,,11.7,37,1003.6,100,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-02T06:00:00,12.1,12.1,6.6,69.3,0,0,,0,0,,9.2,54,1003,100,16,1,0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-02T07:00:00,12,12,5.7,65.38,0,0,,0,0,,5.9,42,1002.5,100,16,18,0.1,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,72503014732"
New York City,2016-04-02T08:00:00,12.1,12.1,6.1,66.57,0,0,,0,0,,1.3,24,1002.6,100,16,42.9,0.2,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,KNYC,72503014732"
New York City,2016-04-02T09:00:00,11.1,11.1,6.9,75.15,0.48,100,rain,0,0,,3,340,1003.1,100,13.4,88.4,0.3,1,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-02T10:00:00,10.3,10.3,6.7,78.66,1.6,100,rain,0,0,,3.3,329,1002.7,100,7.2,214.9,0.8,2,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-04-02T11:00:00,9.6,7.9,6.4,80.7,1.4,100,rain,0,0,,11.6,267,1002.8,100,8.4,349.3,1.3,3,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
