name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York City,2016-05-01T00:00:00,10.2,10.2,2.6,59.14,0,,,0,0,,11.5,152,1023.8,35.9,16,,,,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T01:00:00,10.2,10.2,1.2,53.65,0,,,0,0,,7.6,164,1023.7,35.9,16,,,,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T02:00:00,10.2,10.2,2.9,60.54,0,,,0,0,,8.6,156,1023,38.4,16,,,,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T03:00:00,10.2,10.2,1.3,53.74,0,,,0,0,,9.4,154,1022.5,93.1,16,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T04:00:00,10.1,10.1,0.9,52.89,0,,,0,0,,1.2,61,1022.5,100,16,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T05:00:00,10.1,10.1,1.7,55.98,0,,,0,0,,2.6,71,1022.3,100,16,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T06:00:00,10,9.4,2.4,59.19,0,,,0,0,,6.2,108,1022.4,100,16,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T07:00:00,10,10,3,61.85,0,,,0,0,,4.2,70,1022.9,97.5,16,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T08:00:00,9.6,7.9,3,63.53,0,,,0,0,,11.7,163,1023.1,100,15.7,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T09:00:00,9.2,9.2,5.2,76.37,0.31,,,0,0,,3.9,70,1023.8,100,11.3,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T10:00:00,8.9,7.7,6.2,83.01,1.05,,,0,0,,8.1,124,1023.1,100,9.9,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T11:00:00,9,7.3,6.7,85.4,0.91,,,0,0,,11.3,130,1022.7,100,11.2,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T12:00:00,8.7,6.5,6.2,84.55,0.52,,,0,0,,13.7,146,1022.3,100,7.7,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,KNYC,72503014732"
New York City,2016-05-01T13:00:00,8.4,5.6,6.2,86.12,0.64,,,0,0,,17.4,142,1021.7,100,10.8,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T14:00:00,8.8,6.9,6.4,84.83,0.06,,,0,0,,11.3,124,1021.2,100,16,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,KNYC,72503014732"
New York City,2016-05-01T15:00:00,8.7,7,5.8,82.12,0,,,0,0,25.9,10.6,130,1020.8,100,16,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T16:00:00,9.2,7.7,5.4,77.44,0,,,0,0,25.9,9.4,128,1020.5,100,16,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T17:00:00,8.9,7.1,6.2,82.96,0.11,,,0,0,,11.5,97,1020,100,12.4,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,KNYC,72503014732"
New York City,2016-05-01T18:00:00,8.5,6.8,7.1,90.88,0.18,,,0,0,,10.1,65,1019.6,100,3,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC"
New York City,2016-05-01T19:00:00,8.3,5.8,7.1,92.25,0.2,,,0,0,,15,64,1019.3,100,3.2,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T20:00:00,8.2,5.6,6.7,90.32,0.05,,,0,0,,15.8,62,1019.4,100,4.2,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T21:00:00,7.2,4.4,5.7,90.48,0,,,0,0,,15.2,68,1019.6,100,7.5,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T22:00:00,7.2,4.7,5.8,90.48,0.07,,,0,0,,13.6,68,1019.1,100,12.2,,,,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-01T23:00:00,7.3,5.2,5.9,90.54,0,,,0,0,,11,43,1018.8,100,14.4,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-02T00:00:00,7.9,6.9,6.6,91.93,0,,,0,0,,6.5,24,1018.8,100,6.5,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-02T01:00:00,7.7,6,6.2,90.18,0,,,0,0,,9.6,54,1018.2,100,6.4,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-02T02:00:00,7.4,5.6,6.2,92.64,0,,,0,0,,9.2,25,1017.3,100,6.5,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-05-02T03:00:00,7.5,7.5,6.3,92.5,0,,,0,0,,3.9,5,1017.2,100,7,,,,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
