name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York City,2017-03-01T00:00:00,12,12,9.2,82.72,0,0,,0,0,,7.6,140,1015.3,65.2,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T01:00:00,11.9,11.9,9.6,85.39,0,0,,0,0,,5.9,149,1014.5,71.1,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T02:00:00,12,12,9.7,85.4,0,0,,0,0,,8,151,1013.4,92.5,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T03:00:00,12.2,12.2,11,92.27,0,0,,0,0,,9.2,231,1011.6,97.5,14.8,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T04:00:00,12.5,12.5,11.3,92.59,0,0,,0,0,,9.1,132,1011.4,99,15.6,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T05:00:00,12.8,12.8,11.5,92.19,0,0,,0,0,,4.1,88,1010.7,100,14.3,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T06:00:00,13.7,13.7,12.1,89.88,0,0,,0,0,,7.6,178,1009.6,95.9,16,9.2,0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T07:00:00,14.2,14.2,12.6,89.84,0,0,,0,0,27.7,15.1,219,1008.6,84.1,16,85,0.3,1,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T08:00:00,14.3,14.3,12.7,89.71,0,0,,0,0,,13.7,202,1007.6,93.5,14.3,113.3,0.4,1,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T09:00:00,14.5,14.5,12.7,89.06,0,0,,0,0,,14.8,212,1006.6,84.1,12.4,120.2,0.4,1,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T10:00:00,15,15,12.5,85.1,0,0,,0,0,,10.6,188,1005.7,84.1,12.6,185.2,0.7,2,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T11:00:00,15.2,15.2,12.9,86.38,0.13,100,rain,0,0,,3.9,289,1005.5,95.6,10.4,300,1.1,3,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,KNYC,72503014732"
New York City,2017-03-01T12:00:00,15.1,15.1,13.7,91.4,2.92,100,rain,0,0,27.7,8,229,1004.2,66,6.5,301.4,1.1,3,,"Rain, Partially cloudy",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T13:00:00,16.5,16.5,14.2,86.17,0.15,100,rain,0,0,,11.6,190,1001.8,93.9,11,254.7,0.9,3,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T14:00:00,17.2,17.2,14.2,82.47,0,0,,0,0,35.3,12.3,187,1000.8,80.8,11.1,332.4,1.2,3,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T15:00:00,18.4,18.4,13.9,75.11,0,0,,0,0,42.5,12.7,169,999.3,23.6,12.9,255.4,0.9,3,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T16:00:00,18.7,18.7,13.9,73.77,0,0,,0,0,51.7,9.4,220,998.6,71.3,12.6,107.5,0.4,1,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T17:00:00,20.3,20.3,14.5,69.37,0,0,,0,0,51.8,16.1,230,996.4,25,16,11.3,0,0,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-01T18:00:00,21,21,13.4,61.75,0,0,,0,0,37.8,20,236,996.9,21.9,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
