name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York City,2016-03-01T00:00:00,8.5,5.8,-2.9,44.63,0,0,,0,0,33.5,16.5,259,1013.9,6.1,16,0,,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T01:00:00,8.6,5.9,-2.5,45.65,0,0,,0,0,40.7,18,245,1014.4,15.6,16,0,,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T02:00:00,8.2,6,-2.5,46.73,0,0,,0,0,31.7,12.8,246,1015,19.2,16,0,,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T03:00:00,8.4,5.8,-2.5,46.08,0,0,,0,0,29.5,16,258,1015.6,25.4,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T04:00:00,7.6,5.5,-2.3,49.52,0,0,,0,0,37.1,11.4,318,1017.3,88.8,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,KNYC,72503014732"
New York City,2016-03-01T05:00:00,5.8,3.5,-2.4,55.88,0,0,,0,0,,10.3,348,1018.4,19.2,16,0,,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T06:00:00,5.2,2.2,-3.9,51.84,0,0,,0,0,,14.4,310,1019.4,25.4,16,20.6,0.1,0,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T07:00:00,4.6,2.1,-4.9,50.28,0,0,,0,0,,10.3,322,1020.1,25.4,16,153.3,0.6,2,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T08:00:00,4.3,1.2,-5.6,48.59,0,0,,0,0,,13.4,4,1021.3,19.2,16,272.6,1,3,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T09:00:00,4.3,1.4,-6.5,45.33,0,0,,0,0,,12.4,360,1021.8,56.2,16,477.4,1.7,5,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T10:00:00,5.6,2.4,-8.9,34.16,0,0,,0,0,,15.9,30,1022.2,34.2,16,637,2.3,6,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T11:00:00,6.8,4.3,-10.3,28.35,0,0,,0,0,,13,57,1021.2,19.2,16,701.8,2.5,7,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T12:00:00,8,6.3,-9.2,28.64,0,0,,0,0,,9.5,42,1020.5,14.1,16,699.5,2.5,7,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T13:00:00,9,7.3,-7.8,29.68,0,0,,0,0,,10.9,15,1019.4,23.9,16,635.5,2.3,6,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T14:00:00,10.1,10.1,-7.6,27.92,0,0,,0,0,,12.3,139,1018.8,14.2,16,513.8,1.8,5,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T15:00:00,8.9,6,-4.6,38.23,0,0,,0,0,29.9,19.5,165,1018,14.1,16,347.6,1.3,3,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T16:00:00,8.4,5.6,-3.9,41.7,0,0,,0,0,31.7,17.9,161,1016.9,19.2,16,153.8,0.6,2,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T17:00:00,7.3,4.7,-2.5,50.05,0,0,,0,0,30.3,13.9,136,1016,50.8,16,12.4,0,0,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T18:00:00,7.1,4.8,-0.7,57.64,0,0,,0,0,27,12.5,136,1015.2,88.9,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T19:00:00,7.2,4.5,0.5,62.52,0,0,,0,0,,14.9,125,1014.2,91.4,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T20:00:00,7.9,5.2,2,66.5,0,0,,0,0,,15.8,102,1012,98.2,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T21:00:00,8.8,6.4,3.5,69.57,0,0,,0,0,31.7,15.5,131,1010.3,88.9,16,0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T22:00:00,9.4,7.3,5.2,75.2,0,0,,0,0,29,14,136,1008.1,97.5,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-01T23:00:00,10.1,10.1,6.9,80.3,0,0,,0,0,31.7,13.6,148,1005.6,92.3,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T00:00:00,11.3,11.3,7.6,78.37,0,0,,0,0,35.4,20.3,171,1003.1,100,16,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T01:00:00,11.2,11.2,7.6,78.39,0,0,,0,0,30.9,14.1,172,1001.9,100,14.2,0,,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T02:00:00,11.2,11.2,7.6,78.37,0.18,100,rain,0,0,,15.2,174,999.5,100,14.8,0,,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T03:00:00,10.9,10.9,8,82.39,0.36,100,rain,0,0,31.7,14.4,176,998.6,100,9.2,0,,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T04:00:00,11.6,11.6,8.9,83.66,1.48,100,rain,0,0,,12.4,182,997.3,100,12.7,0,,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T05:00:00,12.4,12.4,7.5,71.94,0.53,100,rain,0,0,45.9,23.1,268,998.1,100,15.7,0,,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T06:00:00,10.3,10.3,4.7,68.57,0.87,100,rain,0,0,49.8,18.8,251,999.1,100,10.6,9.4,0,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T07:00:00,10.8,10.8,5.9,71.91,0.27,100,rain,0,0,46.8,17.6,256,998.8,95.7,16,127.4,0.5,1,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T08:00:00,8.4,4.5,-0.7,52.74,0,0,,0,0,56,30.5,283,1001.6,50.8,16,358.5,1.3,4,,Partially cloudy,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T09:00:00,6.9,2.5,-3.5,47.5,0,0,,0,0,55.8,31.2,280,1003.2,50.8,16,540.3,1.9,5,,Partially cloudy,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T10:00:00,6.4,1.8,-5.7,41.74,0,0,,0,0,51.7,31,288,1004.6,50.8,16,498.1,1.8,5,,Partially cloudy,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T11:00:00,6.1,2.3,-7.7,36.29,0,0,,0,0,51.4,21.7,288,1005.6,34.2,16,548.8,2,5,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T12:00:00,4.8,-0.2,-11,30.93,0,0,,0,0,59.7,29.9,306,1006.2,34.2,16,558.3,2,6,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T13:00:00,4.8,0,-10.9,31.01,0,0,,0,0,51.1,27.7,318,1006,19.2,16,620.3,2.2,6,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T14:00:00,5.7,1.1,-11.1,28.89,0,0,,0,0,45.9,27.9,308,1007.1,19.2,16,545,2,5,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T15:00:00,4.8,-0.1,-11.6,29.45,0,0,,0,0,51,28.5,308,1008.3,19.2,16,376,1.4,4,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T16:00:00,4.7,0.3,-11.7,29.42,0,0,,0,0,44.4,23.1,310,1009.4,10.5,16,178.6,0.6,2,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T17:00:00,4,-0.2,-12.2,29.51,0,0,,0,0,42.7,20.8,317,1010.3,10.5,16,18.4,0.1,0,,Clear,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T18:00:00,3,-1.9,-12.6,30.63,0,0,,0,0,46,24.5,308,1011.8,10.5,16,0,,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T19:00:00,2,-4,-12.4,33.59,0,0,,0,0,47.9,31.8,320,1013.5,10.5,16,0,,0,,Clear,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T20:00:00,1.4,-3.5,-12.3,35.39,0,0,,0,0,39.4,20.1,311,1015,0,16,0,,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T21:00:00,0.2,-4.5,-11.8,39.93,0,0,,0,0,34.1,17.4,314,1016.3,0,16,0,,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T22:00:00,-0.4,-5.9,-12.1,40.8,0,0,,0,0,43.3,20.9,314,1017.8,0,16,0,,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-02T23:00:00,-1,-6.5,-12.1,42.49,0,0,,0,0,40.4,20.5,319,1018.7,10.5,16,0,,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03T00:00:00,-1.5,-7.6,-13.1,40.8,0,0,,0,0,40.4,24.1,326,1019.4,10.5,16,0,,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03T01:00:00,-1.8,-6.4,-13.1,41.98,0,0,,0,0,53.6,13.7,310,1020.8,4.4,16,0,,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03T02:00:00,-2,-7.1,-13.2,42.22,0,0,,0,0,27.9,15.9,320,1020.5,4.4,16,0,,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03T03:00:00,-2.6,-7.7,-13.1,44.55,0,0,,0,0,,15,320,1021,0,16,0,,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03T04:00:00,-3,-8.6,-13.1,45.57,0,0,,0,0,30.2,18.1,310,1021.4,0,16,0,,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03T05:00:00,-3,-8.7,-13.6,43.79,0,0,,0,0,33.5,17.8,310,1022.2,0,16,0,,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03T06:00:00,-3.2,-8.2,-13.6,44.26,0,0,,0,0,28.7,14.5,322,1022.5,14.1,16,25.8,0.1,0,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03T07:00:00,-3.2,-8.2,-14.3,42.08,0,0,,0,0,37.1,14.5,320,1023.7,27.9,16,181.6,0.7,2,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03T08:00:00,-3,-9.3,-14.2,41.62,0,0,,0,0,37.8,22.2,306,1024.3,27.9,16,383.3,1.4,4,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03T09:00:00,-2.8,-8.3,-14.4,40.37,0,0,,0.13,0.13,32.3,17.7,321,1024.6,19.2,16,557.5,2,6,,Clear,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03T10:00:00,-1.7,-5.8,-15.2,34.79,0,0,,0.13,0.25,40.7,11.7,312,1024.6,27.9,16,624.3,2.2,6,,Partially cloudy,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03T11:00:00,-0.4,-4.8,-15.4,31.27,0,0,,0.13,0.38,,14.8,322,1024.8,34.2,16,734.3,2.6,7,,Partially cloudy,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03T12:00:00,0.3,-3.1,-15.1,30.28,0,0,,0.13,0.5,,10.9,270,1024.5,34.2,16,727,2.6,7,,Partially cloudy,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03T13:00:00,1.4,-0.9,-15.6,27.16,0,0,,0.13,0.63,45.6,7.4,323,1023.8,34.2,16,552,2,6,,Partially cloudy,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03T14:00:00,1.4,-1.5,-15.6,26.89,0,0,,0.13,0.75,,9.7,306,1023.3,35.9,16,318.3,1.1,3,,Partially cloudy,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2016-03-03T15:00:00,1.7,-0.9,-15.6,26.33,0,0,,0.12,0.88,,8.9,267,1022.9,35.9,16,281,1,3,,Partially cloudy,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
