name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York City,2018-05-02T02:00:00,20.4,20.4,1.5,28.55,0,0,,0,0,31.7,13.1,218,1017.7,10.5,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-02T03:00:00,20.2,20.2,1.2,28.19,0,0,,0,0,,12.7,232,1017.7,10.5,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-02T04:00:00,19.4,19.4,1.3,29.93,0,0,,0,0,,10.3,236,1017.9,10.5,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-02T05:00:00,18.3,18.3,1.3,31.92,0,0,,0,0,,10,220,1018.1,14.1,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-02T06:00:00,17.8,17.8,1.3,32.98,0,0,,0,0,,8.6,245,1018.3,19.2,16,9,0,0,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-02T07:00:00,18.6,18.6,1.3,31.32,0,0,,0,0,,9.6,245,1018.8,10.5,16,71,0.3,1,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-02T08:00:00,20.5,20.5,1.9,29.13,0,0,,0,0,,7.3,247,1019.1,10.5,16,187,0.7,2,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-02T09:00:00,23.2,23.2,1.3,23.72,0,0,,0,0,,10.3,252,1018.7,14.1,16,510,1.8,5,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-02T10:00:00,26.1,26.1,1.8,20.68,0,0,,0,0,,9.6,258,1018.6,27.9,16,694,2.5,7,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-02T11:00:00,28.2,26.9,1.9,18.29,0,0,,0,0,,11.5,232,1018.3,27.9,16,841,3,8,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-02T12:00:00,29.2,27.6,1.6,16.89,0,0,,0,0,,20.5,220,1017.6,27.9,16,927,3.3,9,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-02T13:00:00,30.6,28.6,1.8,15.88,0,0,,0,0,36.7,14.7,225,1017,27.9,16,935,3.4,9,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-02T14:00:00,31.2,29.1,1.7,15.14,0,0,,0,0,42.9,19.2,234,1016.7,34.2,16,905,3.3,9,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-02T15:00:00,31.4,29.3,1.4,14.69,0,0,,0,0,49.4,17.9,234,1016,34.2,16,828,3,8,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-02T16:00:00,31.7,29.5,-0.2,12.93,0,0,,0,0,45.9,24.5,246,1015,34.2,16,685,2.5,7,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-02T17:00:00,31.4,29.2,0.2,13.58,0,0,,0,0,51.8,20,246,1014.7,34.2,16,494,1.8,5,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-02T18:00:00,30.9,28.9,2,15.79,0,0,,0,0,51.4,35.4,240,1014.4,34.2,16,287,1,3,,Partially cloudy,wind,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-02T19:00:00,29.7,28,3,18.16,0,0,,0,0,49.1,24.1,236,1014.4,34.2,16,87,0.3,1,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-02T20:00:00,28.7,27.2,4.1,20.92,0,0,,0,0,37.4,16.5,242,1014.5,34.2,16,24,0.1,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-02T21:00:00,28.4,27.1,4.8,22.35,0,0,,0,0,31.7,13,220,1014.9,34.2,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-02T22:00:00,26.6,26.6,5.7,26.3,0,0,,0,0,,12.5,220,1015.3,34.2,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-02T23:00:00,26.7,26.1,5.4,25.58,0,0,,0,0,35.3,21.6,220,1015.3,34.2,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-03T00:00:00,25.7,25.7,4.8,26.23,0,0,,0,0,33.5,11.3,224,1015.4,19.2,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-03T01:00:00,24.6,24.6,4.8,28,0,0,,0,0,,10.2,244,1015.4,19.2,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-03T02:00:00,23.3,23.3,5.1,30.69,0,0,,0,0,,9.4,208,1015.1,19.2,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-03T03:00:00,23.1,23.1,5.1,31.13,0,0,,0,0,,13.1,240,1014.9,19.2,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-03T04:00:00,22.8,22.8,5.9,33.51,0,0,,0,0,,8.7,220,1015.5,25.4,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-03T05:00:00,22.4,22.4,5.9,34.32,0,0,,0,0,,11.4,235,1015.4,34.2,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-03T06:00:00,21.8,21.8,6.8,37.89,0,0,,0,0,,13,216,1015.8,34.2,16,9,0,0,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-03T07:00:00,21.7,21.7,7.6,40.34,0,0,,0,0,,14.5,246,1016.1,34.2,16,51,0.2,1,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-03T08:00:00,23,23,7.8,37.72,0,0,,0,0,,16.5,245,1016.5,24.3,16,182,0.7,2,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-03T09:00:00,25.1,25.1,9,36.07,0,0,,0,0,,7.6,290,1016.5,15.6,16,478,1.7,5,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-03T10:00:00,27.5,26.9,10,33.43,0,0,,0,0,,10.8,224,1016.1,11.2,16,638,2.3,6,,Clear,clear-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-03T11:00:00,29.1,28.1,10.9,32.27,0,0,,0,0,28.1,14.9,230,1015.7,24.3,16,747,2.7,7,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-03T12:00:00,31.2,30.1,12.2,31.19,0,0,,0,0,37.4,26.2,242,1014.8,34.2,16,875,3.2,9,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-03T13:00:00,31.9,30.8,12.4,30.42,0,0,,0,0,38.9,24,240,1014.2,34.2,16,884,3.2,9,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-03T14:00:00,32.5,31.5,12.8,30.25,0,0,,0,0,39.7,22.6,254,1013.9,34.2,16,875,3.2,9,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-03T15:00:00,33.4,32.3,13.1,29.36,0,0,,0,0,44.8,22.2,257,1013,34.2,16,783,2.8,8,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-03T16:00:00,33.4,32.3,12.7,28.49,0,0,,0,0,43.1,22,238,1012.3,34.2,16,638,2.3,6,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-03T17:00:00,33.2,32.1,13,29.52,0,0,,0,0,53,36.2,250,1011.9,34.2,16,467,1.7,5,,Partially cloudy,wind,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-03T18:00:00,32.5,31.5,13.4,31.56,0,0,,0,0,48.4,18.7,242,1011.6,34.2,16,292,1.1,3,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-03T19:00:00,31.4,30.4,13.2,32.98,0,0,,0,0,43.5,16.6,230,1012.1,34.2,16,66,0.2,1,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-03T20:00:00,22.4,22.4,19.7,84.45,0.38,100,rain,0,0,64,10.6,316,1014.7,100,11.2,5,0,0,,""Rain, Overcast"",rain,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-03T21:00:00,23.2,23.2,18.7,75.63,0,0,,0,0,,2.1,287,1014.4,56.2,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-03T22:00:00,24.3,24.3,18,67.85,0,0,,0,0,,0.9,331,1015,90.6,16,0,,0,,Overcast,cloudy,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-03T23:00:00,22.8,22.8,19.2,80.2,0,0,,0,0,,0,0,1015.7,100,16,0,,0,,Overcast,cloudy,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-04T00:00:00,23.3,23.3,18.2,72.65,0,0,,0,0,,2.6,82,1014.6,88.9,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-04T01:00:00,23,23,17.5,70.98,0,0,,0,0,,0,0,1014.3,88.9,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-04T02:00:00,22.5,22.5,17.5,73.37,0,0,,0,0,,0.9,336,1013.9,34.2,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-04T03:00:00,22.5,22.5,17.6,73.85,0,0,,0,0,,8.7,285,1013.9,88.9,14.8,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-04T04:00:00,22.2,22.2,17,72.34,0,0,,0,0,,1.8,340,1013.7,34.2,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-04T05:00:00,22.7,22.7,17.1,70.7,0,0,,0,0,,1.2,39,1013.2,53.3,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-04T06:00:00,22.6,22.6,17,70.48,0,0,,0,0,,4.8,283,1013,34.2,16,9,0,0,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-04T07:00:00,23,23,17.2,69.96,0,0,,0,0,,4,293,1013.8,25.4,16,59,0.2,1,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
