name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York City,2015-04-01T00:00:00,2.1,-0.3,0.1,86.3,0,,,0,0,,8.2,324,1009.4,44.6,16,,,,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-04-01T01:00:00,2.1,-1.1,-0.4,83.23,0,,,0,0,,11.8,309,1009.8,25.4,16,,,,,Partially cloudy,partly-cloudy-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-04-01T02:00:00,2,-1.2,-1.6,76.53,0,,,0,0,,11.3,314,1010.3,19.2,16,,,,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-04-01T03:00:00,1.8,-2.7,-3.1,69.86,0,,,0,0,27.7,18.5,308,1010.7,14.1,16,,,,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-04-01T04:00:00,1.4,-2.8,-3.6,69.23,0,,,0,0,,15.9,308,1011.8,19.2,16,,,,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-04-01T05:00:00,1,-3,-5.3,63.17,0,,,0,0,30.4,14,312,1012.5,7.2,16,,,,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-04-01T06:00:00,0.4,-3.2,-5.9,62.89,0,,,0,0,,11.2,326,1013.9,15.6,16,,,,,Clear,clear-night,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-04-01T07:00:00,0.4,-1.8,-6.8,58.62,0,,,0,0,37.1,6.6,352,1015,34.2,16,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-04-01T08:00:00,1,-0.5,-6.9,55.49,0,,,0,0,,5.2,357,1016.2,34.2,16,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-04-01T09:00:00,2,-0.3,-7.3,50.2,0,,,0,0,,7.9,322,1017.4,34.2,16,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-04-01T10:00:00,2.2,-0.5,-8,46.88,0,,,0,0,,9.1,303,1018.5,34.2,16,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-04-01T11:00:00,3.8,0.8,-9.9,36.11,0,,,0,0,,12,309,1018.7,25.4,16,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-04-01T12:00:00,5.5,3,-10.5,30.5,0,,,0,0,,11.4,278,1018.7,56.2,16,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2015-04-01T13:00:00,7.1,4,-9.8,29.02,0,,,0,0,33.5,17.4,308,1018.7,34.2,16,,,,,Partially cloudy,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
